Level,Hierarchical structure,Code,Class title,Class definition
1,Broad occupational category,0,Management occupations,"This category includes legislators, senior management occupations and middle management occupations. Senior managers are described in several broad categories. Middle managers are described in more detailed categories that span the entire labour market."
2,Major group,00,Senior management occupations,This major group comprises senior management occupations. It includes legislators and senior managers in the public and private sectors.
3,Minor group,001,Legislators and senior management,"This minor group includes legislators and senior management occupations in the public and private sectors. They are employed by federal, provincial, territorial and local government legislative bodies, executive councils, band councils and school boards; municipal and regional governments and provincial, territorial and federal departments, boards, agencies and commissions; and throughout the private sector."
4,Unit group,0011,Legislators,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members."
4,Unit group,0012,Senior government managers and officials,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies."
4,Unit group,0013,"Senior managers - financial, communications and other business services","Senior managers in financial, communications and other business services are usually appointed by a board of directors, to which they report. They work either alone or in conjunction with the board of directors to develop and establish objectives for the company, and to develop or approve policies and programs. They plan, organize, direct, control and evaluate, through middle managers, the operations of their organization in relation to established objectives. They work in establishments throughout the telecommunications, finance, insurance, real estate, and data processing, hosting and related services industries as well as other business service industries or they may own and operate their own business."
4,Unit group,0014,"Senior managers - health, education, social and community services and membership organizations","Senior managers in health, education, social and community services and membership organizations plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors. They are employed in health care organizations, educational services, social and community services and membership organizations or they may own and operate their own business."
4,Unit group,0015,"Senior managers - trade, broadcasting and other services, n.e.c.","Senior managers in trade, broadcasting and other customer services plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service industry companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors. They work in establishments in broadcasting and related media services, wholesale trade, retail trade, accommodation and food service, and other services not elsewhere classified or they may own and operate their own business."
4,Unit group,0016,"Senior managers - construction, transportation, production and utilities","Senior managers in construction, transportation, production and utilities plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors. They work in establishments throughout the following industries: fishing, forestry, logging and agriculture; mining, oil and gas extraction; construction; transportation and warehousing; printing; manufacturing; and utilities or they may own and operate their own business."
2,Major group,01-05,Specialized middle management occupations,"This major group comprises specialized middle management occupations. It includes administrative services managers and managers in financial and business services, communication (except broadcasting), engineering, architecture, science and information systems, health care, public administration, education, social and community services, public protection services, art, culture, recreation, and sport."
3,Minor group,011,Administrative services managers,"This minor group includes financial managers, human resources managers, purchasing managers and other administrative service managers. They are employed throughout the public and private sectors."
4,Unit group,0111,Financial managers,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the private sector and in government."
4,Unit group,0112,Human resources managers,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. They are employed throughout the private and public sectors."
4,Unit group,0113,Purchasing managers,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution. They are employed throughout the public and private sectors."
4,Unit group,0114,Other administrative services managers,"Other administrative services managers plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services. They are employed throughout the public and private sector."
3,Minor group,012,Managers in financial and business services,"This minor group includes insurance, real estate and financial brokerage managers; banking, credit and investment managers; advertising, marketing, and public relations managers; and other business services managers. They are employed by insurance companies, real estate firms, stockbrokers, investment dealers, mortgage brokers and security and commodity exchanges; banks, trust companies and credit unions; credit departments in department stores and other industrial and commercial organizations; credit card, consumer loan, mutual fund, mortgage and other loan, financing and investment companies; government departments; advertising, marketing and public relations firms and consulting businesses; and other establishments that provide services to business."
