,REF_DATE,GEO,DGUID,National Occupational Classification,Job vacancy characteristics,Statistics,VALUE,STATUS
1233457,2015-04,Newfoundland and Labrador,2016A000210,"Business, finance and administration occupations [1]",Full-time,Job vacancies,430.0,D
1242071,2015-04,Newfoundland and Labrador,2016A000210,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,170.0,D
1251511,2015-04,Newfoundland and Labrador,2016A000210,Health occupations [3],Full-time,Job vacancies,265.0,D
1251514,2015-04,Newfoundland and Labrador,2016A000210,Health occupations [3],Part-time,Job vacancies,260.0,D
1257411,2015-04,Newfoundland and Labrador,2016A000210,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,130.0,D
1268975,2015-04,Newfoundland and Labrador,2016A000210,Sales and service occupations [6],Full-time,Job vacancies,955.0,C
1268978,2015-04,Newfoundland and Labrador,2016A000210,Sales and service occupations [6],Part-time,Job vacancies,945.0,C
1278651,2015-04,Newfoundland and Labrador,2016A000210,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,735.0,C
1295879,2015-04,Newfoundland and Labrador,2016A000210,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,305.0,D
1323727,2015-04,Prince Edward Island,2016A000211,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,70.0,D
1350631,2015-04,Prince Edward Island,2016A000211,Sales and service occupations [6],Full-time,Job vacancies,440.0,D
1350634,2015-04,Prince Edward Island,2016A000211,Sales and service occupations [6],Part-time,Job vacancies,425.0,D
1377535,2015-04,Prince Edward Island,2016A000211,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,100.0,D
1388273,2015-04,Nova Scotia,2016A000212,Management occupations [0],Full-time,Job vacancies,375.0,C
1396769,2015-04,Nova Scotia,2016A000212,"Business, finance and administration occupations [1]",Full-time,Job vacancies,770.0,D
1396772,2015-04,Nova Scotia,2016A000212,"Business, finance and administration occupations [1]",Part-time,Job vacancies,185.0,D
1405383,2015-04,Nova Scotia,2016A000212,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,495.0,D
1414823,2015-04,Nova Scotia,2016A000212,Health occupations [3],Full-time,Job vacancies,405.0,C
1414826,2015-04,Nova Scotia,2016A000212,Health occupations [3],Part-time,Job vacancies,520.0,C
1420726,2015-04,Nova Scotia,2016A000212,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,150.0,D
1427095,2015-04,Nova Scotia,2016A000212,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,240.0,D
1432287,2015-04,Nova Scotia,2016A000212,Sales and service occupations [6],Full-time,Job vacancies,2145.0,C
1432290,2015-04,Nova Scotia,2016A000212,Sales and service occupations [6],Part-time,Job vacancies,1980.0,B
1441963,2015-04,Nova Scotia,2016A000212,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,1650.0,C
1454589,2015-04,Nova Scotia,2016A000212,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,445.0,D
