,REF_DATE,GEO,DGUID,National Occupational Classification,Job vacancy characteristics,Statistics,VALUE,STATUS
1143184,2015-04,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,451925.0,A
2286368,2015-07,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,407865.0,A
3429552,2015-10,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,358755.0,A
4572736,2016-01,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,330215.0,A
5715920,2016-04,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,391190.0,A
6859104,2016-07,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,404860.0,A
8002288,2016-10,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,381010.0,A
9145472,2017-01,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,387080.0,A
10288656,2017-04,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,459685.0,A
11431840,2017-07,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,467395.0,A
12575024,2017-10,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,469360.0,A
13692994,2018-01,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,461845.0,A
14811629,2018-04,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,546820.0,A
15931258,2018-07,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,550670.0,A
17051335,2018-10,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,547330.0,A
18170145,2019-01,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,506140.0,A
19289410,2019-04,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,581595.0,A
20409963,2019-07,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,562910.0,A
21529858,2019-10,Canada,2016A000011124,"Total, all occupations","Type of work, all types",Job vacancies,508590.0,A
